Quarter,Consumer Price Index,UNRATE,Personal Savings,Inflation Rate,GDP,Personal Consumption Expenditures,Gross Savings,Gross saving as a percentage of gross national income,Gross domestic investment,Net saving as a percentage of gross national income,FEDFUNDS,Military Spending
1968-09-30,35.0,3.533333333333333,68.831,4.5,950.825,566.1,215.5,22.6,215.2,10.6,5.946666666666666,21.082257805
1968-12-31,35.4,3.4,71.889,4.7,968.03,575.0,222.1,22.8,220.3,10.7,5.916666666666667,21.082257805
1969-03-31,35.833333333333336,3.4,67.448,4.766666666666667,993.337,587.0,231.0,23.2,233.9,11.1,6.566666666666666,21.2475413575
1969-06-30,36.43333333333333,3.4333333333333336,70.609,5.5,1009.02,598.3,231.3,22.8,232.4,10.6,8.326666666666666,21.2475413575
1969-09-30,36.96666666666667,3.5666666666666664,82.471,5.6000000000000005,1029.956,608.6,237.7,23.0,237.5,10.8,8.983333333333333,21.2475413575
1969-12-31,37.5,3.5666666666666664,83.702,5.933333333333334,1038.147,620.6,232.5,22.2,228.6,9.9,8.94,21.2475413575
1970-03-31,38.0,4.166666666666667,88.257,6.033333333333334,1051.2,631.7,226.9,21.5,227.1,9.0,8.573333333333332,20.85199825
1970-06-30,38.63333333333333,4.766666666666667,95.407,6.033333333333334,1067.375,641.6,229.8,21.5,230.3,8.8,7.886666666666667,20.85199825
1970-09-30,39.06666666666667,5.166666666666667,102.739,5.7,1086.059,653.5,231.3,21.3,234.1,8.6,6.706666666666667,20.85199825
1970-12-31,39.6,5.833333333333333,103.948,5.599999999999999,1088.608,660.2,224.9,20.6,227.9,7.7,5.566666666666666,20.85199825
1971-03-31,39.9,5.933333333333334,107.689,5.0,1135.156,679.2,238.7,21.1,247.5,8.3,3.856666666666667,19.5594949725
1971-06-30,40.333333333333336,5.900000000000001,114.205,4.4,1156.271,693.2,243.2,21.1,255.7,8.3,4.566666666666666,19.5594949725
1971-09-30,40.766666666666666,6.033333333333334,113.742,4.366666666666666,1177.675,705.6,249.0,21.2,261.2,8.4,5.476666666666667,19.5594949725
1971-12-31,40.96666666666667,5.933333333333334,112.064,3.4666666666666663,1190.297,721.7,253.6,21.2,256.9,8.4,4.75,19.5594949725
1972-03-31,41.26666666666667,5.766666666666667,107.356,3.4333333333333336,1230.609,738.9,263.0,21.3,273.0,8.7,3.546666666666667,20.1770177425
